2016-07-09 18:52:37,165 [Worker-6] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2016-07-09 18:52:37,165 [Worker-6] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 3 resources
2016-07-09 18:52:37,181 [Worker-6] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2016-07-09 18:52:37,181 [Worker-6] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory E:\workspace\SpringMVC\SpringMVC\src\test\resources
2016-07-09 18:52:51,732 [Worker-6] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2016-07-09 18:52:51,748 [Worker-6] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 3 resources
2016-07-09 18:52:51,748 [Worker-6] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2016-07-09 18:52:51,748 [Worker-6] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory E:\workspace\SpringMVC\SpringMVC\src\test\resources
2016-07-09 18:52:56,603 [Worker-8] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2016-07-09 18:52:56,618 [Worker-8] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 3 resources
2016-07-09 18:52:56,618 [Worker-8] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2016-07-09 18:52:56,618 [Worker-8] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory E:\workspace\SpringMVC\SpringMVC\src\test\resources
2016-07-09 18:52:59,448 [Worker-1] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2016-07-09 18:52:59,463 [Worker-1] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 3 resources
2016-07-09 18:52:59,463 [Worker-1] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
